type,nivel,t,rh,uv,ps,pw
121,1100,NA,NA,NA,NA,NA
121,1050,NA,NA,NA,NA,NA
121,1000,NA,NA,NA,NA,NA
121,950,NA,NA,NA,NA,NA
121,900,NA,NA,NA,NA,NA
121,850,NA,NA,NA,NA,NA
121,800,NA,NA,NA,NA,NA
121,750,NA,NA,NA,NA,NA
121,700,NA,NA,NA,NA,NA
121,650,NA,NA,NA,NA,NA
121,600,NA,NA,NA,NA,NA
121,550,NA,NA,NA,NA,NA
121,500,NA,NA,NA,NA,NA
121,450,NA,NA,NA,NA,NA
121,400,NA,NA,NA,NA,NA
121,350,NA,NA,NA,NA,NA
121,300,NA,NA,NA,NA,NA
121,250,NA,NA,NA,NA,NA
121,200,NA,NA,NA,NA,NA
121,150,NA,NA,NA,NA,NA
121,100,NA,NA,NA,NA,NA
121,75,NA,NA,NA,NA,NA
121,50,NA,NA,NA,NA,NA
121,40,NA,NA,NA,NA,NA
121,30,NA,NA,NA,NA,NA
121,20,NA,NA,NA,NA,NA
121,10,NA,NA,NA,NA,NA
121,5,NA,NA,NA,NA,NA
121,4,NA,NA,NA,NA,NA
121,3,NA,NA,NA,NA,NA
121,2,NA,NA,NA,NA,NA
121,1,NA,NA,NA,NA,NA
121,0,NA,NA,NA,NA,NA
