var,type,date,rmsi,spread,bias,count,cr
t,187,2018-11-22T16:00:00Z,7.18939579385332,46.8041349924565,-0.751061752891921,154776,6.51016251358318
t,181,2018-11-22T16:00:00Z,5.9074647476147,559.415544446736,0.300350124181882,48801,94.6963830249882
u,287,2018-11-22T16:00:00Z,1.37010576876111,122.960795703353,0.793379504147911,68533,89.7454769601749
u,281,2018-11-22T16:00:00Z,1.72202541032054,175.79746792091,-0.259704397009116,48815,102.087615471474
v,287,2018-11-22T16:00:00Z,2.0684574634545,15.314968003847,-1.59113078907534,68533,7.40405266940789
v,281,2018-11-22T16:00:00Z,3.42903640657069,16.6556898838022,-0.821535592358906,48815,4.8572508159688
t,187,2018-11-22T17:00:00Z,8.75349128217197,32.1187473965921,-0.956773485806819,154539,3.66924994396323
t,181,2018-11-22T17:00:00Z,5.17545176033214,643.837780400398,0.227706632506618,41933,124.402237759256
u,287,2018-11-22T17:00:00Z,1.44315474567528,123.172519631717,0.734085915604898,68185,85.3494886815357
u,281,2018-11-22T17:00:00Z,1.50934624957005,143.559509087665,0.169249951076704,40819,95.1137017954359
v,287,2018-11-22T17:00:00Z,1.47295176518608,14.1500439162017,-1.83772178589573,68185,9.60659014819407
v,281,2018-11-22T17:00:00Z,3.51677034144186,15.812912848347,-0.612574780200397,40819,4.49643033609747
t,187,2018-11-22T18:00:00Z,9.97622022765765,21.4553038744584,-1.29174695854407,157068,2.15064457127526
t,181,2018-11-22T18:00:00Z,7.07971880459957,600.21329061635,0.2772189710393,53690,84.7792556713414
u,287,2018-11-22T18:00:00Z,1.32354170511753,77.7893273366261,0.447108959180209,69225,58.7736125245243
u,281,2018-11-22T18:00:00Z,1.47304279898412,143.402475355804,-0.0263291771480061,51606,97.3511940418172
v,287,2018-11-22T18:00:00Z,1.00182132240755,13.8528170284525,-1.72721724716504,69225,13.827632451625
v,281,2018-11-22T18:00:00Z,2.26432727425865,16.4844517942452,-0.424799030513894,51606,7.2800659081591
t,187,2018-11-22T19:00:00Z,7.56606391869417,12.4160763984226,-1.23997391524681,156354,1.64102187502607
